Dates,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,SBILIFE IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NEST IS Equity,NTPC IS Equity,LTIM IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,COAL IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,HDFCLIFE IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity,NIFTY Index
27-01-2009,21.94,78.95,15.71,#N/A N/A,276.6,56.93,68.05,108.77,44.2,16.13,114.13,45.54,88.95,64.08,191.1,80.14,103.53,19.39,45.36,443.9,857.15,253.35,156.51,65,283.44,537.65,18.19,#N/A N/A,158.42,#N/A N/A,32.85,206.68,28.14,50.09,5.63,#N/A N/A,69.29,291.74,75.14,124.78,27.77,#N/A N/A,212.68,391,61,53.94,226.55,135.17,146.51,62.11,2771.35
28-01-2009,21.71,84.57,16.5,#N/A N/A,287.44,58.55,70.83,111.25,44.35,16.62,115.82,47.28,91.18,63.07,194.2,78.06,106.88,20.47,46.98,442.55,870.8,259.05,160.84,68.81,298.53,520.55,18.21,#N/A N/A,159.38,#N/A N/A,32.95,205.73,28.48,51.22,5.73,#N/A N/A,74.19,293.88,78.91,126.86,29.02,#N/A N/A,217.9,412.15,62.77,56.04,231.15,132.72,147.05,62.15,2849.5
29-01-2009,21.52,87.13,16.44,#N/A N/A,286.56,58.48,73.6,109.93,46.05,17.23,114.61,47.09,92.35,64.93,191,74.98,106.52,20.75,45.6,453.05,884.25,257.05,163.77,70.04,293.8,544.45,17.88,#N/A N/A,158.54,#N/A N/A,32.7,197.5,27.29,50.88,5.91,#N/A N/A,74.56,282.72,76.29,127.35,30.09,#N/A N/A,217.44,415.2,61.53,57.59,238.78,134.05,146.98,62.67,2823.95
30-01-2009,21.79,86.74,16.94,#N/A N/A,298.63,60.03,75.56,115.1,48.95,17.32,107.45,45.92,92.56,65.33,191.95,78.88,109.16,21.11,46.47,449.8,876.85,261.65,163.33,70.94,306.78,568.3,17.6,#N/A N/A,158.04,#N/A N/A,33.35,202.5,29.03,49.64,5.72,#N/A N/A,75.68,285.68,77.23,127.9,29.61,#N/A N/A,221.2,395.95,62.63,59.48,237.38,139.07,148.84,60.59,2874.8
02-02-2009,21.9,79.57,16.28,#N/A N/A,288.79,59.4,72.94,109.58,46.15,16.18,104.71,44.08,88.87,63.64,192.05,77.59,106.58,19.68,44.16,448.9,878.05,261.9,159.96,68.59,293.58,567,17.12,#N/A N/A,151,#N/A N/A,32.7,201.88,28.33,47.03,5.59,#N/A N/A,70.02,277.5,77.92,122.83,28.44,#N/A N/A,215.54,388.45,64.07,58.86,233.23,140.01,148.28,59.4,2766.65
03-02-2009,22.83,79.1,15.49,#N/A N/A,294.7,60.3,72.19,109.23,44.9,16.02,104.57,42.04,89.82,64.58,192.4,76.9,108.57,18.97,45.09,437.8,878.15,266.1,160.31,68.16,292.27,583.75,16.75,#N/A N/A,147.42,#N/A N/A,31.75,199.98,29.44,47.78,5.63,#N/A N/A,71.27,281.64,76.12,124.96,26.36,#N/A N/A,219.3,412.95,64.43,58.1,229.95,138.41,158.48,56.27,2783.9
04-02-2009,23.15,79.03,15.07,#N/A N/A,295,60.3,70.3,109.68,44.3,16.84,104.66,40.2,88.59,64.86,195.05,77.1,110.92,19.93,44.96,436.6,877.75,267.9,160.21,68.24,291.24,602,16.73,#N/A N/A,147.38,#N/A N/A,32.15,199.83,30.53,48.23,5.59,#N/A N/A,70.85,285.83,73.71,124.66,26.8,#N/A N/A,212.5,412.8,61.63,57.81,228.6,137.57,160.68,56.95,2803.05
05-02-2009,22.63,78.46,14.92,#N/A N/A,290.78,60.43,66.41,109.48,43.45,17.05,104.9,39.23,88.43,65.04,194,78.22,110.6,19.54,44.12,447.95,873.45,263.4,156.98,65.24,282.93,577.05,16.49,#N/A N/A,147.38,#N/A N/A,32.2,200.2,30.39,47.95,5.63,#N/A N/A,71.01,283.29,73.58,120.73,25.94,#N/A N/A,204,412.1,61.67,56.31,228.23,136.01,165.6,55.3,2780.05
06-02-2009,22.18,80.6,14.52,#N/A N/A,303.42,60.85,68.66,111.86,44.15,17.5,105.65,40.74,89.84,65.05,191.2,79.21,113.88,21.04,45,458.9,880,260.6,161.11,66.49,283.96,577.7,16.24,#N/A N/A,150.29,#N/A N/A,33.05,204.78,31.38,48.6,5.46,#N/A N/A,74.02,291.58,75.04,125.7,27.21,#N/A N/A,205.34,416.05,62.73,58,227.43,139.73,174.63,55.07,2843.1
09-02-2009,22.61,84.49,13.91,#N/A N/A,313.54,61.05,68.71,114.76,45.95,18.73,109.16,42.86,91.95,66.43,192.35,79.41,120.73,22.45,45.38,465.05,885.45,260.15,164.01,68.35,299.73,595.2,16.53,#N/A N/A,152.46,#N/A N/A,34.35,199.98,29.94,48.63,5.76,#N/A N/A,77.88,300.01,77.1,128.75,28.02,#N/A N/A,216.96,413.05,61.37,58.68,229.2,137.94,176.61,55.03,2919.9
10-02-2009,22.27,84.2,14.57,#N/A N/A,316.3,60.12,70.64,116.41,44.95,18.47,112.23,42.93,94.7,66.78,194.7,83.08,119.58,22.44,45.32,464.35,888.5,258.95,163.55,70.24,310.47,608.4,16.9,#N/A N/A,150.25,#N/A N/A,34.35,202.6,29.36,48.54,5.51,#N/A N/A,77.95,299.01,75.29,131.15,27.35,#N/A N/A,227.56,418.9,63.33,59.2,233.28,139.71,175.9,55.34,2934.5
11-02-2009,22.09,86.19,14.06,#N/A N/A,311.63,60.07,70.09,115.89,44.95,17.84,109.66,42.65,93.45,68.42,192.35,80.44,117.79,21.98,44.54,444.95,902.45,259.2,162.74,68.93,306.42,632.3,16.86,#N/A N/A,150.38,#N/A N/A,35.05,204.25,28.75,48.66,5.57,#N/A N/A,79.13,303.48,74.32,128.69,26.93,#N/A N/A,230.2,420.6,62.27,58.36,228.2,139.63,169.15,55.03,2925.7
12-02-2009,21.84,86.1,13.8,#N/A N/A,304.93,59.43,74.91,115.92,45.15,17.41,110.89,42.67,93.39,67.87,191,80.35,115.6,22.54,44.62,434.8,918.35,258.7,156.82,68.2,303.31,613.85,16.73,#N/A N/A,149.88,#N/A N/A,34.85,203.13,28.55,51.02,5.6,#N/A N/A,76.62,293.29,73.48,127.48,26.97,#N/A N/A,236.35,412.05,62.07,61.15,239.13,138.04,167.97,54.55,2893.05
13-02-2009,21.74,88.08,14.07,#N/A N/A,314.15,59.77,80.15,119.59,45.75,18.21,106.69,42.64,94.42,68.23,191.75,83.01,117.47,23.22,44.91,430.5,932.15,259.25,156.46,70.08,312.09,628.8,17.02,#N/A N/A,152.46,#N/A N/A,34.45,213.63,28.49,52.76,5.82,#N/A N/A,78.98,293.7,73.66,127.8,27.26,#N/A N/A,235.25,420.7,64.77,62.39,238.1,138.8,170.07,54.79,2948.35
16-02-2009,21.8,83.76,13.79,#N/A N/A,297.86,60.38,78.49,113.68,44.3,17.28,105.37,41.94,91.4,66.19,189.95,80.71,114.58,21.49,43.36,410.3,934.5,256.25,152.68,66.72,296.36,622.1,16.48,#N/A N/A,148.38,#N/A N/A,33.3,212,27.61,50.32,5.6,#N/A N/A,74.36,287.39,71.71,125.19,26.96,#N/A N/A,236.5,422.35,67.37,61.35,232.45,137.14,168.3,54.69,2848.5
17-02-2009,21.64,79.83,13.89,#N/A N/A,285.93,60.18,74.61,109.88,42.4,16.1,104.78,39.64,88.03,65.83,189.55,79.95,112.9,21.28,42.07,401.2,945.15,252.45,146.74,65.06,292.62,602.6,16.14,#N/A N/A,145.13,#N/A N/A,32.15,205.05,27.33,48.09,5.77,#N/A N/A,70.13,285.09,69.19,121.31,25.88,#N/A N/A,221.34,409.85,65.93,59.36,237.88,135.31,165.02,53.97,2770.5
18-02-2009,21.7,78.85,13.9,#N/A N/A,292.21,60.02,71.22,107.09,41.6,16.02,103.85,38.19,87.64,69.23,192.35,79.5,111.8,20.87,41.98,398.15,932.45,253.45,147.35,64.05,289.76,616.9,15.62,#N/A N/A,147,#N/A N/A,31.8,201.55,27.16,49.42,5.65,#N/A N/A,67.18,288.79,66.83,120.19,26.38,#N/A N/A,216.93,420.2,66,59.7,247.75,138.32,167.35,52.98,2776.15
19-02-2009,21.69,77.69,13.8,#N/A N/A,291.89,60.35,72.61,105.87,40.1,16.18,103.75,38.46,88.46,69.08,192,80,113.31,20.88,44.22,405.95,930.9,249.3,151.11,63.1,284.6,631.8,16.03,#N/A N/A,149.25,#N/A N/A,31.45,201.43,27.26,49.58,5.55,#N/A N/A,65.73,292.21,70.4,122.38,26.62,#N/A N/A,207.24,419.15,66.67,66.66,248.58,135.98,171.17,52.09,2789.35
20-02-2009,21.11,74.54,14.34,#N/A N/A,282.79,60.07,70.39,104.41,39.35,15.77,102.24,38.28,86.65,68.77,188.35,79.82,112.15,19.71,43.2,395.2,917.25,249.25,147.14,61.16,276.2,629.5,15.61,#N/A N/A,148.13,#N/A N/A,31.3,200.38,25.88,48.54,5.53,#N/A N/A,61.06,289.62,70.25,118.51,26.47,#N/A N/A,205.75,416.95,63.87,67.46,249.83,135.73,167.51,54.51,2736.45
23-02-2009,21.11,74.54,14.34,#N/A N/A,282.79,60.07,70.39,104.41,39.35,15.77,102.24,38.28,86.65,68.77,188.35,79.82,112.15,19.71,43.2,395.2,917.25,249.25,147.14,61.16,276.2,629.5,15.61,#N/A N/A,148.13,#N/A N/A,31.3,200.38,25.88,48.54,5.53,#N/A N/A,61.06,289.62,70.25,118.51,26.47,#N/A N/A,205.75,416.95,63.87,67.46,249.83,135.73,167.51,54.51,2736.45
24-02-2009,21.16,72.73,14.85,#N/A N/A,282.76,60.2,73.97,102.78,39,15.08,100.49,39.46,85.45,68.04,186,79.1,113.3,18.41,42.72,397.7,899.05,252.9,148.19,62.43,277.56,641.2,15.49,#N/A N/A,148.5,#N/A N/A,30.65,194.13,25.18,51.64,5.54,#N/A N/A,61.08,286.89,69.24,117.23,26.14,#N/A N/A,202.3,424.15,60.63,67.86,246.93,134.05,172.11,54.65,2733.9
25-02-2009,21.29,73.21,15.39,#N/A N/A,285.76,60.63,79.3,103.66,40,15.23,102.27,39.1,86.43,66.99,187,79.04,116.73,18.5,43.67,403.25,895.95,251.55,152.18,63.33,271.96,663.9,15.24,#N/A N/A,150.17,#N/A N/A,30.8,194.73,25.23,51.5,5.41,#N/A N/A,61.93,288.74,69.05,120.19,27.72,#N/A N/A,204.58,440.65,58.9,68.95,254.98,132.72,175.28,56.04,2762.5
26-02-2009,21.3,69.26,15.49,#N/A N/A,291.23,61.35,79.69,102.31,38.55,15.3,101.89,38.12,87.48,64.31,192.55,78.73,119.96,18.46,43.18,406.6,927.1,253.7,154.5,62.78,271.07,690.75,15.2,#N/A N/A,153.96,#N/A N/A,30.05,196.08,24.78,52.26,5.35,#N/A N/A,59.06,293.9,69.02,120.55,29.67,#N/A N/A,208.56,476,58.3,64.49,263.02,131.49,182.38,57.86,2785.65
27-02-2009,21.84,69.58,15.27,#N/A N/A,285.64,61.02,77.93,102.53,38.6,16.21,101.75,37.67,88.95,63.82,191.5,78.64,115.17,18.82,41.64,391.85,929.7,253.5,153.91,64.86,272.78,677.3,15.21,#N/A N/A,154.17,#N/A N/A,30.2,194.48,25.05,54.51,5.6,#N/A N/A,59.55,287.73,68.33,120.78,29.54,#N/A N/A,217.1,470.1,58.97,62.16,267.52,131.51,170.91,57.99,2763.65
02-03-2009,21.66,64.62,14.84,#N/A N/A,276.53,59.65,79.96,99.45,38.05,14.92,99.44,38.44,84.57,62.85,191,77.34,110.74,17.2,40.82,398.75,902.5,244.8,152.38,61.51,259.64,674.6,15.5,#N/A N/A,149.04,#N/A N/A,28.6,188.85,23.6,51.98,5.35,#N/A N/A,55.35,277.95,63.27,114.96,28.8,#N/A N/A,212.41,452.05,56.4,61.41,253.1,131.5,164.78,56.28,2674.6
03-03-2009,21.47,64.98,14.86,#N/A N/A,270.03,57.35,77.68,97.44,37.4,14.56,97.18,36.01,83.15,64.19,192.5,74.23,108.08,17.06,40.32,397.2,900.7,241.65,149.7,59.4,254.22,671.25,15.24,#N/A N/A,149,#N/A N/A,28.55,184.73,23.64,50.12,5.19,#N/A N/A,53.75,270.9,61.32,111.55,28.07,#N/A N/A,208.01,457.95,52.6,61.21,243.08,131.8,169.69,55.07,2622.4
04-03-2009,21.4,64.43,14.5,#N/A N/A,273.25,57.9,78.58,95.7,38.6,14.7,97.27,35.12,83.9,64.52,202.55,73.6,110.64,17.79,41.33,389.8,928.25,240.85,149.9,58.49,257.98,683.3,15.21,#N/A N/A,149.88,#N/A N/A,28.1,187.55,23.76,51.5,5.08,#N/A N/A,51.8,270.67,62.8,115.14,28.32,#N/A N/A,212.7,475.3,49.93,62.69,245.43,128.91,176.69,55.05,2645.2
05-03-2009,21.15,60.14,14.27,#N/A N/A,259.42,55.68,77.83,93.44,37.6,14.24,99.6,35.46,80.14,62.89,201.6,72.85,108.34,17.73,41.48,374,936.35,230.15,147.74,54.1,252.78,668.25,15.13,#N/A N/A,144,#N/A N/A,27.4,182.33,23.2,51.58,4.96,#N/A N/A,49.1,265.76,62.16,115.8,27.57,#N/A N/A,204.58,477.4,49.43,61.89,243.6,126.73,172.43,54.07,2576.7
06-03-2009,21.41,58.99,13.98,#N/A N/A,263.95,54.85,79.47,94.11,39.45,14.7,102.09,36.38,80.18,63.22,203.65,73.65,112.23,17.44,42.8,385.6,928.5,223.95,152.42,56.71,258.16,649.65,15.28,#N/A N/A,148.04,#N/A N/A,28.45,183.13,23.53,52.06,4.95,#N/A N/A,48.94,271.39,61.96,120.43,27.44,#N/A N/A,201.59,497.5,50.5,63.56,243.38,126.93,174.45,54.79,2620.15
09-03-2009,21.6,56.28,14.55,#N/A N/A,260.22,52.78,79.3,89.53,37.95,14.29,97.82,35.61,79.88,59.01,202.3,71.98,111.07,16.33,41.4,376.65,935.45,216.25,150.26,55.76,249.8,651.9,15.21,#N/A N/A,147.21,#N/A N/A,28.05,183.65,22.78,51.16,4.63,#N/A N/A,47.81,264.86,59.58,115.75,27.04,#N/A N/A,211,467.55,50.03,65.74,247.03,122.49,173.54,54.25,2573.15
10-03-2009,21.6,56.28,14.55,#N/A N/A,260.22,52.78,79.3,89.53,37.95,14.29,97.82,35.61,79.88,59.01,202.3,71.98,111.07,16.33,41.4,376.65,935.45,216.25,150.26,55.76,249.8,651.9,15.21,#N/A N/A,147.21,#N/A N/A,28.05,183.65,22.78,51.16,4.63,#N/A N/A,47.81,264.86,59.58,115.75,27.04,#N/A N/A,211,467.55,50.03,65.74,247.03,122.49,173.54,54.25,2573.15
11-03-2009,21.6,56.28,14.55,#N/A N/A,260.22,52.78,79.3,89.53,37.95,14.29,97.82,35.61,79.88,59.01,202.3,71.98,111.07,16.33,41.4,376.65,935.45,216.25,150.26,55.76,249.8,651.9,15.21,#N/A N/A,147.21,#N/A N/A,28.05,183.65,22.78,51.16,4.63,#N/A N/A,47.81,264.86,59.58,115.75,27.04,#N/A N/A,211,467.55,50.03,65.74,247.03,122.49,173.54,54.25,2573.15
12-03-2009,21.61,60.9,14.35,#N/A N/A,271.19,53.95,82.11,91.13,39.6,14.63,102.77,35.12,79.86,59.16,203.75,70.91,113.76,16.56,42.55,398.05,970.4,225.65,153.48,57.81,256.04,689.75,15.18,#N/A N/A,145.04,#N/A N/A,28.9,184.83,22.43,52.65,4.87,#N/A N/A,51.66,247.15,59.58,119.35,28.9,#N/A N/A,217.7,454.6,53.33,65.97,258.55,124.36,175.18,54.19,2617.45
13-03-2009,21.62,65.98,14.23,#N/A N/A,289.75,55.12,86.2,95.31,42.25,15.67,101.78,36.04,83.43,57.51,202.95,72.65,117.73,18.13,45.13,412.5,961.5,229.4,162.13,60.94,273.42,713.15,15.44,#N/A N/A,141.88,#N/A N/A,29.75,188.5,24.05,53.38,4.96,#N/A N/A,56.12,251.29,62.34,126.71,32,#N/A N/A,217.01,471,57.5,63.94,260.05,123.8,186.48,54.63,2719.25
16-03-2009,21.55,68.51,14.61,#N/A N/A,299.53,56.7,93.48,98.71,42.75,15.83,99.93,37.09,84.49,59.98,201.7,72.53,119.27,18.54,45.83,433.9,964.6,235.45,160.98,62.53,278.62,698.75,15.57,#N/A N/A,142.63,#N/A N/A,30.1,184,25.41,53.94,4.96,#N/A N/A,58.69,257.44,62.44,129.95,32.99,#N/A N/A,221.3,482.5,62.17,63.81,267.8,129.1,183.67,52.89,2777.25
17-03-2009,21.12,65.1,14.26,#N/A N/A,293.35,57.8,93.75,95.01,43.7,15.82,99.2,36.76,82.82,59.1,200.6,74.15,119.32,18.48,45.71,424.95,973.7,233.4,158.19,62.73,274.49,709.75,15.41,#N/A N/A,144.88,#N/A N/A,30.25,177.6,25.28,54.17,5.3,#N/A N/A,58.8,257.56,62.07,124.39,34.02,#N/A N/A,224.8,478.4,58.67,66.24,271.25,129.47,181.84,52.72,2757.45
18-03-2009,20.83,68.14,14.57,#N/A N/A,300.39,56.53,90.9,96.03,45.1,16.56,99.75,37.18,84.3,56.79,199.7,75.52,120.64,18.26,46.27,436.8,997.9,232.3,159.76,64.21,282.56,717.6,15.37,#N/A N/A,145.92,#N/A N/A,30.7,183.2,25.69,53.78,5.23,#N/A N/A,60.85,256.75,65.32,126.29,34.91,#N/A N/A,228.26,464.25,58.87,66.53,288.8,134.15,182.99,52.05,2794.7
19-03-2009,20.87,71.6,14.83,#N/A N/A,303.61,56.58,88.15,96.87,45.1,16.22,102.16,36.35,83.24,56.52,197,74.67,121.87,18.26,46.68,436.4,990.9,230.3,162.15,67.33,270.84,730.9,15.11,#N/A N/A,148.83,#N/A N/A,30.6,184.65,26.14,54.11,5.57,#N/A N/A,61.44,257.17,62.53,128.74,33.98,#N/A N/A,229.73,473.1,59.47,68.34,280.85,130.18,181.88,52.02,2807.15
