Date,EIM IS Equity,AXSB IS Equity,BJFIN IS Equity,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity,ADE IS Equity,NTPC IS Equity,IIB IS Equity,APHS IS Equity,HCLT IS Equity,PWGR IS Equity,BAF IS Equity,ICICIBC IS Equity,BHARTI IS Equity,ADSEZ IS Equity,TCS IS Equity,TTMT IS Equity,DIVI IS Equity,UTCEM IS Equity,UPLL IS Equity,TECHM IS Equity,BJAUT IS Equity,BRIT IS Equity,GRASIM IS Equity,TATACONS IS Equity
2009-01-27,21.94,78.95,15.71,276.6,56.93,68.05,108.77,44.2,16.13,114.13,45.54,88.95,64.08,191.1,80.14,103.53,19.39,45.36,443.9,857.15,253.35,156.51,65.0,283.44,537.65,18.19,158.42,32.85,206.68,28.14,50.09,5.63,69.29,291.74,75.14,124.78,27.77,212.68,391.0,61.0,53.94,226.55,135.17,146.51,62.11
2009-01-28,21.71,84.57,16.5,287.44,58.55,70.83,111.25,44.35,16.62,115.82,47.28,91.18,63.07,194.2,78.06,106.88,20.47,46.98,442.55,870.8,259.05,160.84,68.81,298.53,520.55,18.21,159.38,32.95,205.73,28.48,51.22,5.73,74.19,293.88,78.91,126.86,29.02,217.9,412.15,62.77,56.04,231.15,132.72,147.05,62.15
2009-01-29,21.52,87.13,16.44,286.56,58.48,73.6,109.93,46.05,17.23,114.61,47.09,92.35,64.93,191.0,74.98,106.52,20.75,45.6,453.05,884.25,257.05,163.77,70.04,293.8,544.45,17.88,158.54,32.7,197.5,27.29,50.88,5.91,74.56,282.72,76.29,127.35,30.09,217.44,415.2,61.53,57.59,238.78,134.05,146.98,62.67
2009-01-30,21.79,86.74,16.94,298.63,60.03,75.56,115.1,48.95,17.32,107.45,45.92,92.56,65.33,191.95,78.88,109.16,21.11,46.47,449.8,876.85,261.65,163.33,70.94,306.78,568.3,17.6,158.04,33.35,202.5,29.03,49.64,5.72,75.68,285.68,77.23,127.9,29.61,221.2,395.95,62.63,59.48,237.38,139.07,148.84,60.59
2009-02-02,21.9,79.57,16.28,288.79,59.4,72.94,109.58,46.15,16.18,104.71,44.08,88.87,63.64,192.05,77.59,106.58,19.68,44.16,448.9,878.05,261.9,159.96,68.59,293.58,567.0,17.12,151.0,32.7,201.88,28.33,47.03,5.59,70.02,277.5,77.92,122.83,28.44,215.54,388.45,64.07,58.86,233.23,140.01,148.28,59.4
2009-02-03,22.83,79.1,15.49,294.7,60.3,72.19,109.23,44.9,16.02,104.57,42.04,89.82,64.58,192.4,76.9,108.57,18.97,45.09,437.8,878.15,266.1,160.31,68.16,292.27,583.75,16.75,147.42,31.75,199.98,29.44,47.78,5.63,71.27,281.64,76.12,124.96,26.36,219.3,412.95,64.43,58.1,229.95,138.41,158.48,56.27
2009-02-04,23.15,79.03,15.07,295.0,60.3,70.3,109.68,44.3,16.84,104.66,40.2,88.59,64.86,195.05,77.1,110.92,19.93,44.96,436.6,877.75,267.9,160.21,68.24,291.24,602.0,16.73,147.38,32.15,199.83,30.53,48.23,5.59,70.85,285.83,73.71,124.66,26.8,212.5,412.8,61.63,57.81,228.6,137.57,160.68,56.95
2009-02-05,22.63,78.46,14.92,290.78,60.43,66.41,109.48,43.45,17.05,104.9,39.23,88.43,65.04,194.0,78.22,110.6,19.54,44.12,447.95,873.45,263.4,156.98,65.24,282.93,577.05,16.49,147.38,32.2,200.2,30.39,47.95,5.63,71.01,283.29,73.58,120.73,25.94,204.0,412.1,61.67,56.31,228.23,136.01,165.6,55.3
2009-02-06,22.18,80.6,14.52,303.42,60.85,68.66,111.86,44.15,17.5,105.65,40.74,89.84,65.05,191.2,79.21,113.88,21.04,45.0,458.9,880.0,260.6,161.11,66.49,283.96,577.7,16.24,150.29,33.05,204.78,31.38,48.6,5.46,74.02,291.58,75.04,125.7,27.21,205.34,416.05,62.73,58.0,227.43,139.73,174.63,55.07
2009-02-09,22.61,84.49,13.91,313.54,61.05,68.71,114.76,45.95,18.73,109.16,42.86,91.95,66.43,192.35,79.41,120.73,22.45,45.38,465.05,885.45,260.15,164.01,68.35,299.73,595.2,16.53,152.46,34.35,199.98,29.94,48.63,5.76,77.88,300.01,77.1,128.75,28.02,216.96,413.05,61.37,58.68,229.2,137.94,176.61,55.03
2009-02-10,22.27,84.2,14.57,316.3,60.12,70.64,116.41,44.95,18.47,112.23,42.93,94.7,66.78,194.7,83.08,119.58,22.44,45.32,464.35,888.5,258.95,163.55,70.24,310.47,608.4,16.9,150.25,34.35,202.6,29.36,48.54,5.51,77.95,299.01,75.29,131.15,27.35,227.56,418.9,63.33,59.2,233.28,139.71,175.9,55.34
2009-02-11,22.09,86.19,14.06,311.63,60.07,70.09,115.89,44.95,17.84,109.66,42.65,93.45,68.42,192.35,80.44,117.79,21.98,44.54,444.95,902.45,259.2,162.74,68.93,306.42,632.3,16.86,150.38,35.05,204.25,28.75,48.66,5.57,79.13,303.48,74.32,128.69,26.93,230.2,420.6,62.27,58.36,228.2,139.63,169.15,55.03
2009-02-12,21.84,86.1,13.8,304.93,59.43,74.91,115.92,45.15,17.41,110.89,42.67,93.39,67.87,191.0,80.35,115.6,22.54,44.62,434.8,918.35,258.7,156.82,68.2,303.31,613.85,16.73,149.88,34.85,203.13,28.55,51.02,5.6,76.62,293.29,73.48,127.48,26.97,236.35,412.05,62.07,61.15,239.13,138.04,167.97,54.55
2009-02-13,21.74,88.08,14.07,314.15,59.77,80.15,119.59,45.75,18.21,106.69,42.64,94.42,68.23,191.75,83.01,117.47,23.22,44.91,430.5,932.15,259.25,156.46,70.08,312.09,628.8,17.02,152.46,34.45,213.63,28.49,52.76,5.82,78.98,293.7,73.66,127.8,27.26,235.25,420.7,64.77,62.39,238.1,138.8,170.07,54.79
2009-02-16,21.8,83.76,13.79,297.86,60.38,78.49,113.68,44.3,17.28,105.37,41.94,91.4,66.19,189.95,80.71,114.58,21.49,43.36,410.3,934.5,256.25,152.68,66.72,296.36,622.1,16.48,148.38,33.3,212.0,27.61,50.32,5.6,74.36,287.39,71.71,125.19,26.96,236.5,422.35,67.37,61.35,232.45,137.14,168.3,54.69
