Date,MF,RF
05-08-2009,0.803109906,0.008716287
06-08-2009,-2.108833419,0.008716287
07-08-2009,-1.998046157,0.008824214
10-08-2009,-1.022691528,0.026474979
11-08-2009,0.623626445,0.008824214
12-08-2009,-0.090668441,0.008824214
13-08-2009,3.126723905,0.008824214
14-08-2009,-0.004364459,0.009040471
17-08-2009,-3.769134501,0.027123866
18-08-2009,1.551896671,0.009040471
19-08-2009,-1.609000554,0.009040471
20-08-2009,1.181416775,0.009040471
21-08-2009,1.403550023,0.009040471
24-08-2009,2.115492769,0.027123866
25-08-2009,0.621137549,0.009040471
26-08-2009,0.81414294,0.009040471
27-08-2009,0.415223347,0.009040471
28-08-2009,0.804069739,0.009148536
31-08-2009,-0.561373034,0.027448119
01-09-2009,-0.929709347,0.009148536
02-09-2009,-0.271693962,0.009148536
03-09-2009,-0.074793057,0.009148536
04-09-2009,1.377341408,0.009148536
07-09-2009,2.21071999,0.027448119
08-09-2009,0.262820893,0.009148536
09-09-2009,-0.093094704,0.009148536
10-09-2009,-0.165267744,0.009148536
11-09-2009,-0.355103511,0.009148536
14-09-2009,-0.130831148,0.027448119
15-09-2009,1.484404344,0.009148536
16-09-2009,1.010023158,0.009148536
17-09-2009,-0.009813774,0.009148536
18-09-2009,0.703944282,0.009148536
22-09-2009,0.475036634,0.036599166
23-09-2009,-1.125000801,0.009148536
24-09-2009,0.08561058,0.009148536
25-09-2009,0.246361534,0.009148536
29-09-2009,0.821123194,0.036599166
30-09-2009,0.839163347,0.009148536
01-10-2009,-0.047360617,0.00850004
05-10-2009,-1.779852959,0.034004494
06-10-2009,-0.188297558,0.00850004
07-10-2009,-0.147092291,0.00850004
08-10-2009,0.33275613,0.00850004
09-10-2009,-0.576407751,0.008716287
12-10-2009,1.387455103,0.02615114
14-10-2009,1.314335069,0.017433334
15-10-2009,-0.000701281,0.008716287
16-10-2009,0.45805251,0.008716287
17-10-2009,0.423103219,0.008716287
20-10-2009,-0.304915307,0.02615114
21-10-2009,-0.687522104,0.008716287
22-10-2009,-1.495261879,0.008716287
23-10-2009,0.168927471,0.008716287
26-10-2009,-0.932852721,0.02615114
27-10-2009,-2.520637533,0.008716287
28-10-2009,-0.193698427,0.008716287
29-10-2009,-1.64750261,0.008716287
30-10-2009,-0.885119915,0.008716287
03-11-2009,-3.402345168,0.034869707
04-11-2009,2.813684891,0.008716287
05-11-2009,1.801505425,0.008716287
06-11-2009,1.280995208,0.008824214
09-11-2009,1.572957337,0.026474979
10-11-2009,0.152577993,0.008824214
11-11-2009,2.482971703,0.008824214
12-11-2009,-0.983104267,0.008824214
13-11-2009,0.641200252,0.008824214
16-11-2009,1.108129043,0.026474979
17-11-2009,-0.09265739,0.008824214
18-11-2009,0.127888924,0.008824214
19-11-2009,-1.261064101,0.008824214
20-11-2009,0.683277193,0.008824214
23-11-2009,0.766079766,0.026474979
24-11-2009,-0.01405229,0.008824214
25-11-2009,0.126254115,0.008824214
26-11-2009,-1.331043524,0.008824214
27-11-2009,-1.391416808,0.008824214
30-11-2009,1.927801509,0.026474979
01-12-2009,1.650125204,0.008824214
02-12-2009,0.084836241,0.008824214
03-12-2009,0.642128713,0.008824214
04-12-2009,-0.136220828,0.008932364
07-12-2009,-0.942552891,0.026799486
08-12-2009,1.293603086,0.008932364
09-12-2009,-0.096673601,0.008932364
10-12-2009,0.434072524,0.008932364
11-12-2009,-0.236170207,0.009148536
14-12-2009,-0.122409182,0.027448119
15-12-2009,-1.236384633,0.009148536
16-12-2009,0.270482952,0.009148536
17-12-2009,0.335406855,0.009148536
18-12-2009,-0.76978428,0.009904064
21-12-2009,-0.524992811,0.029715136
22-12-2009,0.931710159,0.009904064
23-12-2009,2.528058062,0.009904064
24-12-2009,0.544397779,0.010119737
29-12-2009,0.140743533,0.050608926
30-12-2009,-0.019473097,0.010119737
31-12-2009,0.530107781,0.010119737
04-01-2010,0.940372573,0.039622143
05-01-2010,1.181057997,0.009904064
06-01-2010,0.155983624,0.009904064
07-01-2010,-0.095146679,0.009904064
08-01-2010,0.007594371,0.009110665
11-01-2010,0.673522087,0.027334486
12-01-2010,-0.833087037,0.009110665
13-01-2010,0.676507331,0.009110665
14-01-2010,0.900229463,0.009110665
15-01-2010,0.552220307,0.010227641
18-01-2010,0.661491991,0.030686062
19-01-2010,-0.566432532,0.010227641
20-01-2010,-0.385467023,0.010227641
21-01-2010,-2.602291559,0.010227641
22-01-2010,-0.592166507,0.010551101
25-01-2010,-0.667901436,0.031656643
27-01-2010,-3.544696411,0.021103315
28-01-2010,0.155158867,0.010551101
29-01-2010,0.163905429,0.010766529
01-02-2010,1.170906948,0.032303065
02-02-2010,-1.293087583,0.010766529
03-02-2010,1.710381695,0.010766529
04-02-2010,-1.6764144,0.010766529
05-02-2010,-2.956058279,0.010981789
06-02-2010,1.078157069,0.010981789
08-02-2010,-0.0793752,0.021964783
09-02-2010,1.117872,0.010981789
10-02-2010,-0.472569928,0.010981789
11-02-2010,1.010870926,0.010981789
15-02-2010,-0.75734888,0.043934391
16-02-2010,0.927957956,0.010981789
17-02-2010,0.721116464,0.010981789
18-02-2010,-0.733703849,0.010981789
19-02-2010,-0.988605544,0.011089618
22-02-2010,-0.501444386,0.033272543
23-02-2010,-0.265900086,0.011089618
24-02-2010,-0.335887919,0.011089618
25-02-2010,-0.303753965,0.011089618
26-02-2010,1.128183903,0.011089618
02-03-2010,1.405777876,0.044365851
03-03-2010,1.330873117,0.011089618
04-03-2010,0.347384529,0.011089618
05-03-2010,0.298392632,0.011304887
08-03-2010,0.323642102,0.033918495
09-03-2010,-0.855657723,0.011304887
10-03-2010,-0.001700091,0.011304887
11-03-2010,-0.079199224,0.011304887
12-03-2010,0.028815111,0.011627605
15-03-2010,-0.418634134,0.034886873
16-03-2010,1.029010427,0.011627605
17-03-2010,0.788106826,0.011627605
18-03-2010,-0.016030481,0.011627605
19-03-2010,0.436929085,0.011842716
22-03-2010,-1.097219406,0.035532354
23-03-2010,0.211419526,0.011842716
25-03-2010,0.005680198,0.023686834
26-03-2010,0.199173608,0.011842716
29-03-2010,-0.109677814,0.035532354
30-03-2010,-0.021666407,0.011842716
31-03-2010,0.118036983,0.011735182
01-04-2010,0.814571794,0.011735182
05-04-2010,1.267519388,0.04694899
06-04-2010,0.08324156,0.011735182
07-04-2010,0.482479106,0.011735182
08-04-2010,-0.857140929,0.011735182
09-04-2010,0.492523197,0.010658836
12-04-2010,-0.236833755,0.031979917
